Injected_Bus,Injected_Phase,Penetration_Scenario,Affected_Bus,Affected_Phase,Active_Sensitivity,Reactive_Sensitivity,V0,V_PF,V_TJSM,Error_Percent_V_TJSM
1,0,2.0,11,0,3.0457,10.2129,0.992,1.0153,1.016,0.0713528544
1,0,2.0,11,1,0.1345,-0.0712,1.0493,1.0495,1.0495,0.0007769316
1,0,2.0,11,2,-0.1276,-0.1144,0.9705,0.97,0.97,-0.002276773
1,0,2.0,12,0,2.9917,9.743,1.0323,1.0547,1.0553,0.0636919075
1,0,2.0,12,1,0.0263,0.0015,1.0421,1.0421,1.0421,0.0002681705
1,0,2.0,12,2,-0.0114,-0.0284,0.9991,0.999,0.999,-0.0003347194
1,0,2.0,13,0,2.9993,9.754,1.0315,1.0539,1.0546,0.063893889
1,0,2.0,13,1,0.0292,-0.0012,1.0409,1.041,1.041,0.0002780549
1,0,2.0,13,2,-0.0151,-0.0302,1.0002,1.0001,1.0001,-0.0003850353
1,0,2.0,14,0,3.0143,9.7767,1.0302,1.0527,1.0534,0.0642881644
1,0,2.0,14,1,0.0348,-0.0063,1.0367,1.0368,1.0368,0.0002965315
1,0,2.0,14,2,-0.0221,-0.0335,0.9994,0.9993,0.9993,-0.0004806662
1,0,2.0,15,0,3.022,9.8016,1.0276,1.0501,1.0508,0.0647263512
1,0,2.0,15,1,0.0387,-0.0107,1.0371,1.0372,1.0372,0.0003024964
1,0,2.0,15,2,-0.0278,-0.0356,0.9997,0.9996,0.9996,-0.000552776
1,0,2.0,16,0,3.0223,9.7704,1.0324,1.055,1.0556,0.0641614526
1,0,2.0,16,1,0.0343,-0.0054,1.0305,1.0305,1.0305,0.0003010726
1,0,2.0,16,2,-0.0212,-0.0331,0.9972,0.9971,0.9971,-0.0004701398
1,0,2.0,17,0,3.0419,9.7667,1.034,1.0565,1.0572,0.0641695513
1,0,2.0,17,1,0.0347,-0.0055,1.0196,1.0197,1.0197,0.0003089188
1,0,2.0,17,2,-0.0213,-0.033,0.9975,0.9974,0.9974,-0.0004710035
1,0,2.0,18,0,3.044,9.7663,1.0341,1.0566,1.0573,0.0641735338
1,0,2.0,18,1,0.0347,-0.0055,1.0187,1.0187,1.0187,0.0003095634
1,0,2.0,18,2,-0.0213,-0.033,0.9978,0.9977,0.9977,-0.000470852
1,0,2.0,19,0,3.0263,9.7696,1.0327,1.0552,1.0559,0.064164521
1,0,2.0,19,1,0.0344,-0.0054,1.0288,1.0288,1.0289,0.0003023637
1,0,2.0,19,2,-0.0213,-0.0331,0.9975,0.9974,0.9974,-0.0004700907
1,0,2.0,20,0,3.0113,9.8584,1.0206,1.0432,1.0439,0.0656369607
1,0,2.0,20,1,0.055,-0.0008,1.0426,1.0427,1.0427,0.0005319644
1,0,2.0,20,2,-0.026,-0.0539,0.9938,0.9937,0.9937,-0.0006856905
1,0,2.0,21,0,3.0169,9.8768,1.0189,1.0416,1.0423,0.0659516294
1,0,2.0,21,1,0.0591,-0.0045,1.0421,1.0422,1.0422,0.0005448963
1,0,2.0,21,2,-0.0311,-0.0565,0.9933,0.9932,0.9932,-0.0007579352
1,0,2.0,22,0,3.0175,9.8787,1.0186,1.0413,1.042,0.0659922946
1,0,2.0,22,1,0.0594,-0.0049,1.0426,1.0427,1.0427,0.0005449012
1,0,2.0,22,2,-0.0315,-0.0566,0.9938,0.9936,0.9936,-0.0007629465
1,0,2.0,23,0,3.0161,9.9298,1.0154,1.0382,1.0389,0.0667228279
1,0,2.0,23,1,0.072,-0.0154,1.0432,1.0433,1.0433,0.0005884205
1,0,2.0,23,2,-0.0475,-0.0668,0.9876,0.9874,0.9874,-0.0010186852
1,0,2.0,24,0,3.0261,9.9583,1.0134,1.0363,1.037,0.0672030612
1,0,2.0,24,1,0.0788,-0.0214,1.0412,1.0414,1.0414,0.0006117483
1,0,2.0,24,2,-0.0559,-0.0716,0.9863,0.9861,0.9861,-0.0011470081
1,0,2.0,25,0,3.0243,10.0071,1.0092,1.0321,1.0328,0.06795516
1,0,2.0,25,1,0.0892,-0.0307,1.0443,1.0444,1.0444,0.0006412601
1,0,2.0,25,2,-0.0695,-0.0796,0.9822,0.9819,0.9819,-0.001357872
1,0,2.0,26,0,3.0323,10.0541,1.0051,1.0281,1.0288,0.0687484082
1,0,2.0,26,1,0.0997,-0.0402,1.0451,1.0452,1.0452,0.0006721084
1,0,2.0,26,2,-0.0829,-0.0874,0.9807,0.9804,0.9804,-0.0015631923
1,0,2.0,27,0,3.0379,10.1181,1.0,1.0231,1.0238,0.0697822475
1,0,2.0,27,1,0.1138,-0.0527,1.0463,1.0465,1.0465,0.0007159597
1,0,2.0,27,2,-0.1009,-0.0982,0.9762,0.9759,0.9758,-0.0018493668
1,0,2.0,28,0,3.0335,10.1188,1.0006,1.0237,1.0244,0.0697317137
1,0,2.0,28,1,0.114,-0.0525,1.0455,1.0457,1.0457,0.0007201311
1,0,2.0,28,2,-0.1013,-0.0986,0.9726,0.9722,0.9722,-0.0018632922
